Time [sec],Displacement [cm]
0,0
0.01,-0.00001
0.02,-0.00009
0.03,-0.00029
0.04,-0.00062
0.05,-0.00108
0.06,-0.00166
0.07,-0.00235
0.08,-0.00317
0.09,-0.00409
0.1,-0.00513
0.11,-0.00628
0.12,-0.00754
0.13,-0.00891
0.14,-0.01038
0.15,-0.01195
0.16,-0.01362
0.17,-0.01539
0.18,-0.01726
0.19,-0.01923
0.2,-0.02128
0.21,-0.02343
0.22,-0.02567
0.23,-0.028
0.24,-0.03041
0.25,-0.03291
0.26,-0.03549
0.27,-0.03816
0.28,-0.0409
0.29,-0.04372
0.3,-0.04661
0.31,-0.04958
0.32,-0.05262
0.33,-0.05574
0.34,-0.05892
0.35,-0.06217
0.36,-0.06549
0.37,-0.06887
0.38,-0.07231
0.39,-0.07582
0.4,-0.07938
0.41,-0.08301
0.42,-0.08669
0.43,-0.09043
0.44,-0.09422
0.45,-0.09806
0.46,-0.10196
0.47,-0.1059
0.48,-0.1099
0.49,-0.11394
0.5,-0.11803
0.51,-0.12216
0.52,-0.12633
0.53,-0.13054
0.54,-0.1348
0.55,-0.13909
0.56,-0.14342
0.57,-0.14779
0.58,-0.15219
0.59,-0.15663
0.6,-0.1611
0.61,-0.1656
0.62,-0.17013
0.63,-0.17469
0.64,-0.17928
0.65,-0.18389
0.66,-0.18853
0.67,-0.19319
0.68,-0.19788
0.69,-0.20258
0.7,-0.20731
0.71,-0.21206
0.72,-0.21682
0.73,-0.22161
0.74,-0.22641
0.75,-0.23122
0.76,-0.23605
0.77,-0.24089
0.78,-0.24575
0.79,-0.25061
0.8,-0.25549
0.81,-0.26037
0.82,-0.26526
0.83,-0.27016
0.84,-0.27507
0.85,-0.27998
0.86,-0.28489
0.87,-0.28981
0.88,-0.29473
0.89,-0.29966
0.9,-0.30458
0.91,-0.3095
0.92,-0.31442
0.93,-0.31934
0.94,-0.32426
0.95,-0.32917
0.96,-0.33408
0.97,-0.33898
0.98,-0.34388
0.99,-0.34877
1,-0.35365
1.01,-0.35853
1.02,-0.36339
1.03,-0.36825
1.04,-0.37309
1.05,-0.37792
1.06,-0.38274
1.07,-0.38755
1.08,-0.39234
1.09,-0.39712
1.1,-0.40189
1.11,-0.40663
1.12,-0.41137
1.13,-0.41608
1.14,-0.42078
1.15,-0.42546
1.16,-0.43012
1.17,-0.43476
1.18,-0.43937
1.19,-0.44397
1.2,-0.44855
1.21,-0.45311
1.22,-0.45764
1.23,-0.46215
1.24,-0.46663
1.25,-0.4711
1.26,-0.47553
1.27,-0.47994
1.28,-0.48433
1.29,-0.48869
1.3,-0.49302
1.31,-0.49732
1.32,-0.5016
1.33,-0.50585
1.34,-0.51007
1.35,-0.51426
1.36,-0.51842
1.37,-0.52255
1.38,-0.52665
1.39,-0.53071
1.4,-0.53475
1.41,-0.53875
1.42,-0.54273
1.43,-0.54666
1.44,-0.55057
1.45,-0.55444
1.46,-0.55828
1.47,-0.56208
1.48,-0.56585
1.49,-0.56959
1.5,-0.57328
1.51,-0.57695
1.52,-0.58057
1.53,-0.58416
1.54,-0.58772
1.55,-0.59123
1.56,-0.59471
1.57,-0.59815
1.58,-0.60155
1.59,-0.60492
1.6,-0.60824
1.61,-0.61153
1.62,-0.61478
1.63,-0.61799
1.64,-0.62116
1.65,-0.62428
1.66,-0.62737
1.67,-0.63042
1.68,-0.63343
1.69,-0.6364
1.7,-0.63932
1.71,-0.6422
1.72,-0.64505
1.73,-0.64785
1.74,-0.65061
1.75,-0.65332
1.76,-0.656
1.77,-0.65863
1.78,-0.66122
1.79,-0.66377
1.8,-0.66627
1.81,-0.66873
1.82,-0.67115
1.83,-0.67352
1.84,-0.67585
1.85,-0.67814
1.86,-0.68038
1.87,-0.68258
1.88,-0.68474
1.89,-0.68685
1.9,-0.68891
1.91,-0.69094
1.92,-0.69291
1.93,-0.69485
1.94,-0.69674
1.95,-0.69858
1.96,-0.70038
1.97,-0.70213
1.98,-0.70384
1.99,-0.70551
2,-0.70713
2.01,-0.7087
2.02,-0.71023
2.03,-0.71172
2.04,-0.71315
2.05,-0.71455
2.06,-0.7159
2.07,-0.7172
2.08,-0.71846
2.09,-0.71967
2.1,-0.72084
2.11,-0.72196
2.12,-0.72304
2.13,-0.72407
2.14,-0.72505
2.15,-0.72599
2.16,-0.72689
2.17,-0.72774
2.18,-0.72854
2.19,-0.7293
2.2,-0.73002
2.21,-0.73069
2.22,-0.73131
2.23,-0.73189
2.24,-0.73243
2.25,-0.73292
2.26,-0.73336
2.27,-0.73376
2.28,-0.73412
2.29,-0.73443
2.3,-0.73469
2.31,-0.73491
2.32,-0.73509
2.33,-0.73522
2.34,-0.73531
2.35,-0.73535
2.36,-0.73535
2.37,-0.73531
2.38,-0.73522
2.39,-0.73508
2.4,-0.73491
2.41,-0.73469
2.42,-0.73442
2.43,-0.73412
2.44,-0.73377
2.45,-0.73337
2.46,-0.73294
2.47,-0.73246
2.48,-0.73193
2.49,-0.73137
2.5,-0.73076
2.51,-0.73011
2.52,-0.72942
2.53,-0.72869
2.54,-0.72791
2.55,-0.72709
2.56,-0.72623
2.57,-0.72533
