# dataset: GeoCSV 2.0,
# delimiter: ,
# SID: II_PFO_00_BH1,
# sample_count: 2400,
# sample_rate_hz: 20,
# start_time: 2018-09-22T08:19:19.019538Z,
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-09-22T08:19:19.019538Z,368
2018-09-22T08:19:19.069538Z,359
2018-09-22T08:19:19.119538Z,346
2018-09-22T08:19:19.169538Z,251
2018-09-22T08:19:19.219538Z,218
2018-09-22T08:19:19.269538Z,149
2018-09-22T08:19:19.319538Z,128
2018-09-22T08:19:19.369538Z,121
2018-09-22T08:19:19.419538Z,57
2018-09-22T08:19:19.469538Z,65
2018-09-22T08:19:19.519538Z,18
2018-09-22T08:19:19.569538Z,-4
2018-09-22T08:19:19.619538Z,0
2018-09-22T08:19:19.669538Z,-30
2018-09-22T08:19:19.719538Z,-53
2018-09-22T08:19:19.769538Z,-61
2018-09-22T08:19:19.819538Z,-39
2018-09-22T08:19:19.869538Z,-64
2018-09-22T08:19:19.919538Z,-63
2018-09-22T08:19:19.969538Z,-95
2018-09-22T08:19:20.019538Z,-132
2018-09-22T08:19:20.069538Z,-100
2018-09-22T08:19:20.119538Z,-90
2018-09-22T08:19:20.169538Z,-99
2018-09-22T08:19:20.219538Z,-132
2018-09-22T08:19:20.269538Z,-85
2018-09-22T08:19:20.319538Z,-78
2018-09-22T08:19:20.369538Z,-86
2018-09-22T08:19:20.419538Z,-66
2018-09-22T08:19:20.469538Z,-95
2018-09-22T08:19:20.519538Z,-47
2018-09-22T08:19:20.569538Z,-84
2018-09-22T08:19:20.619538Z,-89
2018-09-22T08:19:20.669538Z,-56
2018-09-22T08:19:20.719538Z,-67
2018-09-22T08:19:20.769538Z,-12
2018-09-22T08:19:20.819538Z,-6
2018-09-22T08:19:20.869538Z,14
2018-09-22T08:19:20.919538Z,17
2018-09-22T08:19:20.969538Z,30
2018-09-22T08:19:21.019538Z,64
2018-09-22T08:19:21.069538Z,109
2018-09-22T08:19:21.119538Z,118
2018-09-22T08:19:21.169538Z,111
2018-09-22T08:19:21.219538Z,217
2018-09-22T08:19:21.269538Z,228
2018-09-22T08:19:21.319538Z,243
2018-09-22T08:19:21.369538Z,269
2018-09-22T08:19:21.419538Z,256
2018-09-22T08:19:21.469538Z,324
2018-09-22T08:19:21.519538Z,334
2018-09-22T08:19:21.569538Z,368
2018-09-22T08:19:21.619538Z,381
2018-09-22T08:19:21.669538Z,380
2018-09-22T08:19:21.719538Z,434
2018-09-22T08:19:21.769538Z,461
2018-09-22T08:19:21.819538Z,503
2018-09-22T08:19:21.869538Z,527
2018-09-22T08:19:21.919538Z,565
2018-09-22T08:19:21.969538Z,617
2018-09-22T08:19:22.019538Z,648
2018-09-22T08:19:22.069538Z,665
2018-09-22T08:19:22.119538Z,702
2018-09-22T08:19:22.169538Z,742
2018-09-22T08:19:22.219538Z,774
2018-09-22T08:19:22.269538Z,805
2018-09-22T08:19:22.319538Z,816
2018-09-22T08:19:22.369538Z,857
2018-09-22T08:19:22.419538Z,873
2018-09-22T08:19:22.469538Z,892
2018-09-22T08:19:22.519538Z,928
2018-09-22T08:19:22.569538Z,939
2018-09-22T08:19:22.619538Z,963
2018-09-22T08:19:22.669538Z,977
2018-09-22T08:19:22.719538Z,992
2018-09-22T08:19:22.769538Z,983
2018-09-22T08:19:22.819538Z,943
2018-09-22T08:19:22.869538Z,985
2018-09-22T08:19:22.919538Z,992
2018-09-22T08:19:22.969538Z,954
2018-09-22T08:19:23.019538Z,947
2018-09-22T08:19:23.069538Z,918
2018-09-22T08:19:23.119538Z,910
2018-09-22T08:19:23.169538Z,896
2018-09-22T08:19:23.219538Z,885
2018-09-22T08:19:23.269538Z,866
2018-09-22T08:19:23.319538Z,850
2018-09-22T08:19:23.369538Z,844
2018-09-22T08:19:23.419538Z,826
2018-09-22T08:19:23.469538Z,766
2018-09-22T08:19:23.519538Z,730
2018-09-22T08:19:23.569538Z,729
2018-09-22T08:19:23.619538Z,676
2018-09-22T08:19:23.669538Z,679
2018-09-22T08:19:23.719538Z,628
2018-09-22T08:19:23.769538Z,591
2018-09-22T08:19:23.819538Z,627
2018-09-22T08:19:23.869538Z,583
2018-09-22T08:19:23.919538Z,535
2018-09-22T08:19:23.969538Z,522
2018-09-22T08:19:24.019538Z,498
2018-09-22T08:19:24.069538Z,435
2018-09-22T08:19:24.119538Z,402
2018-09-22T08:19:24.169538Z,419
2018-09-22T08:19:24.219538Z,378
2018-09-22T08:19:24.269538Z,289
2018-09-22T08:19:24.319538Z,256
2018-09-22T08:19:24.369538Z,226
2018-09-22T08:19:24.419538Z,205
2018-09-22T08:19:24.469538Z,175
2018-09-22T08:19:24.519538Z,89
2018-09-22T08:19:24.569538Z,53
2018-09-22T08:19:24.619538Z,49
2018-09-22T08:19:24.669538Z,35
2018-09-22T08:19:24.719538Z,-14
2018-09-22T08:19:24.769538Z,-45
2018-09-22T08:19:24.819538Z,-56
2018-09-22T08:19:24.869538Z,-105
2018-09-22T08:19:24.919538Z,-121
2018-09-22T08:19:24.969538Z,-122
2018-09-22T08:19:25.019538Z,-159
2018-09-22T08:19:25.069538Z,-188
2018-09-22T08:19:25.119538Z,-184
2018-09-22T08:19:25.169538Z,-197
2018-09-22T08:19:25.219538Z,-197
2018-09-22T08:19:25.269538Z,-199
2018-09-22T08:19:25.319538Z,-228
