Time [sec],Displacement [mm],,,
0,0,,96.94347,-82.69254
0.01,0,,,
0.02,0,,,
0.03,0,,,
0.04,0,,,
0.05,0,,,
0.06,0,,,
0.07,0.00002,,,
0.08,0.00011,,,
0.09,0.00029,,,
0.1,0.00049,,,
0.11,0.00067,,,
0.12,0.00077,,,
0.13,0.00077,,,
0.14,0.00067,,,
0.15,0.00047,,,
0.16,0.00018,,,
0.17,-0.00021,,,
0.18,-0.00067,,,
0.19,-0.00103,,,
0.2,-0.00111,,,
0.21,-0.00082,,,
0.22,-0.00011,,,
0.23,0.00108,,,
0.24,0.00286,,,
0.25,0.0053,,,
0.26,0.00829,,,
0.27,0.01158,,,
0.28,0.01493,,,
0.29,0.01838,,,
0.3,0.02202,,,
0.31,0.02595,,,
0.32,0.03012,,,
0.33,0.03424,,,
0.34,0.0378,,,
0.35,0.04047,,,
0.36,0.04223,,,
0.37,0.04313,,,
0.38,0.04328,,,
0.39,0.04298,,,
0.4,0.04274,,,
0.41,0.0428,,,
0.42,0.043,,,
0.43,0.04282,,,
0.44,0.04182,,,
0.45,0.03989,,,
0.46,0.03716,,,
0.47,0.03383,,,
0.48,0.03046,,,
0.49,0.02797,,,
0.5,0.02735,,,
0.51,0.0295,,,
0.52,0.03489,,,
0.53,0.04357,,,
0.54,0.05526,,,
0.55,0.06937,,,
0.56,0.08474,,,
0.57,0.10005,,,
0.58,0.1142,,,
0.59,0.12678,,,
0.6,0.13773,,,
0.61,0.14695,,,
0.62,0.15451,,,
0.63,0.16095,,,
0.64,0.16703,,,
0.65,0.1728,,,
0.66,0.17776,,,
0.67,0.18166,,,
0.68,0.18479,,,
0.69,0.18703,,,
0.7,0.18778,,,
0.71,0.18613,,,
0.72,0.18068,,,
0.73,0.17063,,,
0.74,0.15621,,,
0.75,0.13847,,,
0.76,0.11855,,,
0.77,0.09722,,,
0.78,0.07536,,,
0.79,0.05395,,,
0.8,0.03283,,,
0.81,0.01035,,,
0.82,-0.01522,,,
0.83,-0.04485,,,
0.84,-0.0785,,,
0.85,-0.11483,,,
0.86,-0.15085,,,
0.87,-0.18345,,,
0.88,-0.21119,,,
0.89,-0.23497,,,
0.9,-0.25707,,,
0.91,-0.27994,,,
0.92,-0.30529,,,
0.93,-0.33321,,,
0.94,-0.36228,,,
0.95,-0.3916,,,
0.96,-0.4216,,,
0.97,-0.45366,,,
0.98,-0.48906,,,
0.99,-0.52961,,,
1,-0.57787,,,
1.01,-0.63467,,,
1.02,-0.69757,,,
1.03,-0.76291,,,
1.04,-0.82746,,,
1.05,-0.88785,,,
1.06,-0.94116,,,
1.07,-0.98581,,,
1.08,-1.02188,,,
1.09,-1.05119,,,
1.1,-1.07802,,,
1.11,-1.10773,,,
1.12,-1.14471,,,
1.13,-1.18902,,,
1.14,-1.23711,,,
1.15,-1.28738,,,
1.16,-1.34106,,,
1.17,-1.39858,,,
1.18,-1.45834,,,
1.19,-1.51883,,,
1.2,-1.57982,,,
1.21,-1.64187,,,
1.22,-1.70537,,,
1.23,-1.77259,,,
1.24,-1.84711,,,
1.25,-1.93267,,,
1.26,-2.02915,,,
