Time(s),Displacement
0,-0.00098
0.001,-0.001036
0.002,-0.001041
0.003,-0.000993
0.004,-0.000906
0.005,-0.000805
0.006,-0.000715
0.007,-0.000656
0.008,-0.000637
0.009,-0.00065
0.01,-0.000675
0.011,-0.000689
0.012,-0.000671
0.013,-0.000608
0.014,-0.000504
0.015,-0.000373
0.016,-0.000238
0.017,-0.000122
0.018,-0.000042
0.019,-0.000004
0.02,-0.000006
0.021,-0.000037
0.022,-0.000086
0.023,-0.00014
0.024,-0.000191
0.025,-0.000233
0.026,-0.000262
0.027,-0.000279
0.028,-0.000289
0.029,-0.000301
0.03,-0.000324
0.031,-0.000362
0.032,-0.000417
0.033,-0.000487
0.034,-0.000569
0.035,-0.000662
0.036,-0.000766
0.037,-0.000883
0.038,-0.001012
0.039,-0.001148
0.04,-0.001282
0.041,-0.001401
0.042,-0.00149
0.043,-0.001535
0.044,-0.001522
0.045,-0.001444
0.046,-0.001298
0.047,-0.001085
0.048,-0.000814
0.049,-0.000495
0.05,-0.000145
0.051,0.00022
0.052,0.000588
0.053,0.000948
0.054,0.001295
0.055,0.001628
0.056,0.001944
0.057,0.002243
0.058,0.002521
0.059,0.00277
0.06,0.002981
0.061,0.003145
0.062,0.003255
0.063,0.003312
0.064,0.003322
0.065,0.003296
0.066,0.003245
0.067,0.00318
0.068,0.003108
0.069,0.00303
0.07,0.002945
0.071,0.002854
0.072,0.002757
0.073,0.002657
0.074,0.002556
0.075,0.002456
0.076,0.002356
0.077,0.002256
0.078,0.002155
0.079,0.002053
0.08,0.001952
0.081,0.001852
0.082,0.001751
0.083,0.001647
0.084,0.001537
0.085,0.001416
0.086,0.001278
0.087,0.00112
0.088,0.000937
0.089,0.000728
0.09,0.000495
0.091,0.000248
0.092,0
0.093,-0.000236
0.094,-0.000443
0.095,-0.000612
0.096,-0.000738
0.097,-0.000824
0.098,-0.000879
0.099,-0.000918
0.1,-0.000958
0.101,-0.001017
0.102,-0.001111
0.103,-0.00125
0.104,-0.001435
0.105,-0.001661
0.106,-0.001912
0.107,-0.002168
0.108,-0.002408
0.109,-0.002615
0.11,-0.002778
0.111,-0.002892
0.112,-0.002957
0.113,-0.002974
0.114,-0.002943
0.115,-0.002863
0.116,-0.002733
0.117,-0.002554
0.118,-0.002331
0.119,-0.002069
0.12,-0.001781
0.121,-0.001478
0.122,-0.001174
0.123,-0.000883
0.124,-0.000615
0.125,-0.000374
0.126,-0.000161
0.127,0.000029
0.128,0.000204
0.129,0.000369
0.13,0.000527
0.131,0.000677
0.132,0.000814
0.133,0.000931
0.134,0.001022
0.135,0.001084
0.136,0.001115
0.137,0.001115
0.138,0.001086
0.139,0.001032
0.14,0.000956
0.141,0.000866
0.142,0.000767
0.143,0.000665
0.144,0.000561
0.145,0.000456
0.146,0.000347
0.147,0.000229
0.148,0.0001
0.149,-0.000039
0.15,-0.000186
0.151,-0.000336
0.152,-0.000481
0.153,-0.000614
0.154,-0.000729
0.155,-0.000824
0.156,-0.000903
0.157,-0.000975
0.158,-0.001052
0.159,-0.001144
0.16,-0.001262
0.161,-0.001406
0.162,-0.001574
0.163,-0.001755
0.164,-0.001938
0.165,-0.002117
0.166,-0.00229
0.167,-0.002461
0.168,-0.00264
0.169,-0.002832
0.17,-0.003033
0.171,-0.003226
0.172,-0.003383
0.173,-0.003468
0.174,-0.003451
0.175,-0.003313
0.176,-0.003055
0.177,-0.002698
0.178,-0.002278
0.179,-0.001836
0.18,-0.001413
0.181,-0.001044
0.182,-0.000749
0.183,-0.000537
0.184,-0.000406
0.185,-0.000342
0.186,-0.000327
0.187,-0.000341
0.188,-0.000363
0.189,-0.000379
0.19,-0.000379
0.191,-0.000364
0.192,-0.000336
0.193,-0.000303
0.194,-0.000274
0.195,-0.000254
0.196,-0.000243
0.197,-0.000236
0.198,-0.000222
0.199,-0.000188
0.2,-0.000124
0.201,-0.000022
0.202,0.000115
0.203,0.000279
0.204,0.000457
0.205,0.000634
0.206,0.000794
0.207,0.00093
0.208,0.001036
0.209,0.001113
0.21,0.001164
0.211,0.001189
0.212,0.001188
0.213,0.001158
0.214,0.001093
0.215,0.000988
0.216,0.000844
0.217,0.000666
0.218,0.000467
0.219,0.000264
0.22,0.000073
0.221,-0.000095
0.222,-0.000236
0.223,-0.000351
0.224,-0.00045
0.225,-0.000542
0.226,-0.000635
0.227,-0.000731
0.228,-0.000824
0.229,-0.000903
0.23,-0.000952
